TransactionID,CustomerID,ProductID,TransactionDate,SignupDate,CustomerName,Region,ProductName,Category,Quantity,Price,TotalValue,YearMonth
T00001,C0199,P067,2024-08-25 12:38:23,2022-12-03,Andrea Jenkins,Europe,ComfortLiving Bluetooth Speaker,Electronics,1,300.68,300.68,2024-08
T00112,C0146,P067,2024-05-27 22:23:54,2024-09-04,Brittany Harvey,Asia,ComfortLiving Bluetooth Speaker,Electronics,1,300.68,300.68,2024-05
T00166,C0127,P067,2024-04-25 07:38:55,2024-04-04,Kathryn Stevens,Europe,ComfortLiving Bluetooth Speaker,Electronics,1,300.68,300.68,2024-04
T00272,C0087,P067,2024-03-26 22:55:37,2024-04-11,Travis Campbell,South America,ComfortLiving Bluetooth Speaker,Electronics,2,300.68,601.36,2024-03
T00363,C0070,P067,2024-03-21 15:10:10,2022-03-15,Timothy Perez,Europe,ComfortLiving Bluetooth Speaker,Electronics,3,300.68,902.04,2024-03
T00442,C0188,P067,2024-12-26 14:40:03,2022-05-17,Anna Ball,South America,ComfortLiving Bluetooth Speaker,Electronics,1,300.68,300.68,2024-12
T00490,C0195,P067,2024-11-24 11:49:48,2024-09-17,Jeremy Mclaughlin,South America,ComfortLiving Bluetooth Speaker,Electronics,3,300.68,902.04,2024-11
T00536,C0008,P067,2024-09-22 06:13:59,2024-01-13,David Li,North America,ComfortLiving Bluetooth Speaker,Electronics,1,300.68,300.68,2024-09
T00564,C0157,P067,2024-12-07 17:57:40,2024-01-30,Miguel Wong,North America,ComfortLiving Bluetooth Speaker,Electronics,3,300.68,902.04,2024-12
T00631,C0130,P067,2024-05-14 23:14:59,2023-04-19,Robert Jones,South America,ComfortLiving Bluetooth Speaker,Electronics,2,300.68,601.36,2024-05
T00727,C0051,P067,2024-01-20 04:52:14,2023-12-21,Nicholas Ellis,Europe,ComfortLiving Bluetooth Speaker,Electronics,3,300.68,902.04,2024-01
T00729,C0075,P067,2024-10-07 06:38:36,2023-05-01,Misty Higgins,Europe,ComfortLiving Bluetooth Speaker,Electronics,2,300.68,601.36,2024-10
T00797,C0155,P067,2024-10-04 20:42:53,2023-03-23,Michelle Brown,South America,ComfortLiving Bluetooth Speaker,Electronics,2,300.68,601.36,2024-10
T00002,C0092,P034,2024-12-16 03:31:07,2024-05-29,Jacqueline Zamora,Asia,HomeSense T-Shirt,Clothing,2,217.05,434.1,2024-12
T00063,C0088,P034,2024-06-19 07:16:55,2023-05-14,Carlos Murray,Asia,HomeSense T-Shirt,Clothing,2,217.05,434.1,2024-06
T00093,C0109,P034,2024-08-11 04:10:13,2022-05-09,Abigail Jones,North America,HomeSense T-Shirt,Clothing,4,217.05,868.2,2024-08
T00127,C0041,P034,2024-06-03 21:07:56,2023-12-27,Lindsey Deleon,Europe,HomeSense T-Shirt,Clothing,4,217.05,868.2,2024-06
T00270,C0101,P034,2024-11-07 02:48:08,2023-09-30,Kelsey Roberts,Asia,HomeSense T-Shirt,Clothing,3,217.05,651.15,2024-11
T00358,C0154,P034,2024-04-08 20:47:01,2024-10-27,Robert Sharp,North America,HomeSense T-Shirt,Clothing,1,217.05,217.05,2024-04
T00518,C0200,P034,2024-12-11 03:05:50,2023-06-11,Kelly Cross,Asia,HomeSense T-Shirt,Clothing,4,217.05,868.2,2024-12
T00546,C0049,P034,2024-08-30 06:42:27,2024-09-18,Jason Yates,North America,HomeSense T-Shirt,Clothing,1,217.05,217.05,2024-08
T00982,C0103,P034,2024-07-17 03:25:18,2022-05-15,Jennifer Munoz,Europe,HomeSense T-Shirt,Clothing,1,217.05,217.05,2024-07
T00003,C0028,P057,2024-01-25 14:28:34,2024-06-29,Jennifer Pena,Asia,ActiveWear Smartphone,Electronics,4,239.7,958.8,2024-01
T00013,C0183,P057,2024-03-04 22:09:57,2024-01-23,Kimberly Johnson,North America,ActiveWear Smartphone,Electronics,4,239.7,958.8,2024-03
T00017,C0087,P057,2024-05-09 03:52:43,2024-04-11,Travis Campbell,South America,ActiveWear Smartphone,Electronics,4,239.7,958.8,2024-05
T00046,C0190,P057,2024-07-28 06:29:59,2024-05-31,Alexander Lowe,South America,ActiveWear Smartphone,Electronics,4,239.7,958.8,2024-07
